time,open,high,low,close
1659701280,4156.25,4156.5,4155.75,4156.25
1659701340,4156,4156.75,4156,4156.5
1659701400,4156.25,4157.25,4156,4157
1659701460,4157,4158,4156.75,4158
1659701520,4157.75,4158.25,4157.25,4157.25
1659701580,4157.25,4157.75,4157.25,4157.25
1659701640,4157.25,4157.75,4157,4157.25
1659701700,4157,4157.25,4156.5,4157.25
1659701760,4157,4158.25,4157,4158
1659701820,4158,4158.5,4157.75,4158
1659701880,4157.75,4158.25,4157.25,4157.5
1659701940,4157.5,4158.75,4157.5,4158.75
1659702000,4158.5,4159.25,4158.5,4159.25
1659702060,4159.25,4159.75,4158.25,4159.5
1659702120,4159.5,4159.5,4158.5,4159
1659702180,4159,4159.25,4158.5,4159.25
1659702240,4159,4159,4157.75,4158
1659702300,4158,4158.25,4157.5,4157.75
1659702360,4157.75,4158,4156.75,4158
1659702420,4158.25,4160,4158.25,4160
1659702480,4159.5,4163,4158.25,4160.75
1659702540,4161.25,4161.5,4158.25,4158.25
